,year,month,day_of_week_encoded,hour,season_encoded,is_weekend_encoded,is_night_encoded,severity_score,ucr_category_encoded,district_encoded,district_category_encoded
year,1.0,0.0047635997320404945,-0.02752694773424526,0.09048678031473904,0.006604079097501105,-0.02248295254107924,-0.08698599239164037,0.0872214215906439,-0.0872214215906439,0.014629633800424709,0.08375118974676711
month,0.0047635997320404945,1.0,-0.002993102935943617,0.0031756512402916844,0.6078037333602849,-0.0001861977207258264,-0.010226662362636486,0.03136952659182995,-0.03136952659182995,-0.001850479689083267,-0.0004699247351730418
day_of_week_encoded,-0.02752694773424526,-0.002993102935943617,1.0,-0.0771321483311688,-0.00395109535252584,0.7734793952422977,0.04234293604515499,-0.02083654493590521,0.02083654493590521,-0.0055113608003526165,-0.00115261765203099
hour,0.09048678031473904,0.0031756512402916844,-0.0771321483311688,1.0,-0.002305693557464434,-0.07365204759371449,-0.35657033965065177,0.06932247814897852,-0.06932247814897852,-0.012961360474547937,-0.002844294179097698
season_encoded,0.006604079097501105,0.6078037333602849,-0.00395109535252584,-0.002305693557464434,1.0,-0.0010048259756751036,-0.009943706322271751,0.015641863345727244,-0.015641863345727244,-0.0004817756624449596,0.001276488736974552
is_weekend_encoded,-0.02248295254107924,-0.0001861977207258264,0.7734793952422977,-0.07365204759371449,-0.0010048259756751036,1.0,0.03441737806501347,-0.007249955214467087,0.007249955214467087,-0.007447543786053579,-0.003338471844900245
is_night_encoded,-0.08698599239164037,-0.010226662362636486,0.04234293604515499,-0.35657033965065177,-0.009943706322271751,0.03441737806501347,1.0,-0.09487068563917556,0.09487068563917556,0.008641889796177821,0.007107975599025981
severity_score,0.0872214215906439,0.03136952659182995,-0.02083654493590521,0.06932247814897852,0.015641863345727244,-0.007249955214467087,-0.09487068563917556,1.0,-1.0,-0.0537805627178646,-0.009735300103814607
ucr_category_encoded,-0.0872214215906439,-0.03136952659182995,0.02083654493590521,-0.06932247814897852,-0.015641863345727244,0.007249955214467087,0.09487068563917556,-1.0,1.0,0.0537805627178646,0.009735300103814607
district_encoded,0.014629633800424709,-0.001850479689083267,-0.0055113608003526165,-0.012961360474547937,-0.0004817756624449596,-0.007447543786053579,0.008641889796177821,-0.0537805627178646,0.0537805627178646,1.0,0.23162305718054393
district_category_encoded,0.08375118974676711,-0.0004699247351730418,-0.00115261765203099,-0.002844294179097698,0.001276488736974552,-0.003338471844900245,0.007107975599025981,-0.009735300103814607,0.009735300103814607,0.23162305718054393,1.0
