district_id,total_incidents,years_active,annual_average,violent_count,violent_rate,property_count,property_rate,qol_count,qol_rate,top_offenses,trend_slope,trend_p_value,trend_significant,seasonal_cv,geocoding_coverage,peak_hour,peak_day,total_incidents_rank,total_incidents_percentile,annual_average_rank,annual_average_percentile,violent_count_rank,violent_count_percentile,property_count_rank,property_count_percentile,qol_count_rank,qol_count_percentile,violent_rate_rank,violent_rate_percentile,property_rate_rank,property_rate_percentile,qol_rate_rank,qol_rate_percentile,seasonal_cv_rank,seasonal_cv_percentile,geocoding_coverage_rank,geocoding_coverage_percentile,low_geocoding_coverage,sparse_data,interpretation_caution
1,71493,20,3574.65,16278,0.2276866266627502,36767,0.514274124739485,3441,0.04813058621123746,"{'Thefts': np.int64(12927), 'All Other Offenses': np.int64(11711), 'Other Assaults': np.int64(9342), 'Vandalism/Criminal Mischief': np.int64(8285), 'Theft from Vehicle': np.int64(5470)}",-133.31503759398498,6.768533566838548e-06,True,0.09562652509822607,0.9870896451400837,21,Wednesday,19,28.000000000000004,21,20.0,19,28.000000000000004,20,24.0,18,32.0,13,52.0,11,60.0,17,36.0,9,68.0,12,56.00000000000001,False,False,False
16,117983,20,5899.15,27763,0.23531356212335675,44461,0.3768424264512684,7954,0.06741649220650432,"{'All Other Offenses': np.int64(33076), 'Other Assaults': np.int64(14298), 'Thefts': np.int64(13450), 'Vandalism/Criminal Mischief': np.int64(9966), 'Theft from Vehicle': np.int64(7517)}",-110.87894736842107,8.416861066562364e-06,True,0.10491869115280765,0.9860064585575888,4,Wednesday,16,40.0,16,40.0,15,44.0,19,28.000000000000004,12,56.00000000000001,11,60.0,21,20.0,6,80.0,4,88.0,13,52.0,False,False,False
25,222023,20,11101.15,66915,0.30138769406773175,77673,0.34984213347265825,26285,0.11838863541164654,"{'All Other Offenses': np.int64(38703), 'Other Assaults': np.int64(34615), 'Narcotic / Drug Law Violations': np.int64(24004), 'Thefts': np.int64(19086), 'Vandalism/Criminal Mischief': np.int64(18822)}",-344.62180451127824,8.147800099816826e-06,True,0.06633388978023026,0.9882084288564699,21,Wednesday,4,88.0,4,88.0,2,96.0,12,56.00000000000001,2,96.0,4,88.0,24,8.0,2,96.0,23,12.0,7,76.0,False,False,False
4,27987,7,3998.1428571428573,6311,0.22549755243505915,13672,0.4885125236717047,2015,0.07199771322399685,"{'All Other Offenses': np.int64(4225), 'Thefts': np.int64(4066), 'Vandalism/Criminal Mischief': np.int64(3743), 'Other Assaults': np.int64(3391), 'Theft from Vehicle': np.int64(2983)}",-1500.0357142857142,0.002989803116269831,True,0.0781340727251069,0.9732375745882017,0,Wednesday,22,16.0,20,24.0,22,16.0,22,16.0,21,20.0,14,48.0,13,52.0,5,84.0,18,32.0,21,20.0,False,False,False
15,276355,20,13817.75,74946,0.27119465904362144,133518,0.48313944021276983,13488,0.0488067883700313,"{'All Other Offenses': np.int64(43804), 'Other Assaults': np.int64(42504), 'Thefts': np.int64(37773), 'Vandalism/Criminal Mischief': np.int64(30072), 'Theft from Vehicle': np.int64(22815)}",-361.80676691729326,3.351460244512896e-06,True,0.07738406670011069,0.9896690850536448,21,Wednesday,1,100.0,1,100.0,1,100.0,1,100.0,5,84.0,6,80.0,14,48.0,16,40.0,19,28.000000000000004,5,84.0,False,False,False
9,153660,20,7683.0,26051,0.16953663933359364,94457,0.6147143043082129,5571,0.03625536899648575,"{'Thefts': np.int64(47702), 'All Other Offenses': np.int64(20742), 'Other Assaults': np.int64(16259), 'Theft from Vehicle': np.int64(15685), 'Vandalism/Criminal Mischief': np.int64(10653)}",94.4375939849624,0.19195624736277137,False,0.09902617036208197,0.9803462189248991,20,Tuesday,12,56.00000000000001,12,56.00000000000001,16,40.0,5,84.0,15,44.0,23,12.0,5,84.0,18,32.0,7,76.0,19,28.000000000000004,False,False,False
24,248640,20,12432.0,54660,0.21983590733590733,88040,0.3540862290862291,38710,0.15568693693693694,"{'All Other Offenses': np.int64(54203), 'Narcotic / Drug Law Violations': np.int64(32734), 'Thefts': np.int64(28229), 'Other Assaults': np.int64(27416), 'Vandalism/Criminal Mischief': np.int64(17236)}",-277.2887218045113,2.0572122132022707e-06,True,0.08990800851229498,0.9930622586872587,21,Wednesday,2,96.0,2,96.0,7,76.0,6,80.0,1,100.0,17,36.0,23,12.0,1,100.0,12,56.00000000000001,1,100.0,False,False,False
35,204108,20,10205.4,62269,0.3050786838340486,87071,0.42659278421227975,12922,0.0633096203970447,"{'Other Assaults': np.int64(34175), 'All Other Offenses': np.int64(33321), 'Thefts': np.int64(20952), 'Vandalism/Criminal Mischief': np.int64(20787), 'Theft from Vehicle': np.int64(13414)}",-236.66315789473686,4.234548187253102e-07,True,0.0768780524129002,0.9899709957473495,21,Wednesday,6,80.0,6,80.0,4,88.0,7,76.0,6,80.0,1,100.0,19,28.000000000000004,9,68.0,21,20.0,3,92.0,False,False,False
14,192664,20,9633.2,56068,0.2910144085039239,95349,0.49489785325748453,10401,0.053985176265415435,"{'Other Assaults': np.int64(34927), 'Thefts': np.int64(23910), 'All Other Offenses': np.int64(23696), 'Vandalism/Criminal Mischief': np.int64(21522), 'Theft from Vehicle': np.int64(15998)}",-161.58646616541353,4.850029243265954e-05,True,0.08739207174904005,0.9881659261719885,21,Wednesday,8,72.0,8,72.0,6,80.0,3,92.0,8,72.0,5,84.0,12,56.00000000000001,14,48.0,13,52.0,8,72.0,False,False,False
26,137825,20,6891.25,29968,0.21743515327407945,75320,0.5464901142753492,7895,0.057282786141846544,"{'Thefts': np.int64(19221), 'Theft from Vehicle': np.int64(18707), 'All Other Offenses': np.int64(18495), 'Other Assaults': np.int64(16269), 'Vandalism/Criminal Mischief': np.int64(14195)}",-77.78120300751881,0.02159268356314408,True,0.0985137026089698,0.9871721385815345,15,Wednesday,15,44.0,15,44.0,12,56.00000000000001,15,44.0,13,52.0,18,32.0,9,68.0,12,56.00000000000001,8,72.0,11,60.0,False,False,False
