year,Property,Quality-of-Life,Violent
2006,26.520831653722464,63.37059829978591,10.108570046491629
2007,26.95309912859184,63.20074556963223,9.846155301775932
2008,26.84851344974044,63.39594148183105,9.755545068428503
2009,26.238407136748414,64.01872269819891,9.74287016505267
2010,29.437951283278522,61.06830942786415,9.493739288857324
2011,30.942868557730723,59.497550308051395,9.559581134217886
2012,28.354364909725188,62.22021670176328,9.425418388511535
2013,27.89522135743577,62.61165508968672,9.493123552877506
2014,27.578890798452694,63.519618435563416,8.901490765983889
2015,26.084816528813406,64.78631801672343,9.128865454463163
2016,28.1693021987218,62.27397548986183,9.556722311416369
2017,27.858221159894324,62.65190590011323,9.489872939992452
2018,29.251568665502298,61.4257067080665,9.322724626431206
2019,28.628857422479896,61.89653250083621,9.474610076683888
2020,32.13592160772613,56.4296396604192,11.434438731854673
2021,37.05125629636243,51.734708302642055,11.214035400995513
2022,43.906955825843106,46.018770213694715,10.074273960462179
2023,46.26753521835082,45.05404781767515,8.678416963974039
2024,44.255181185624856,47.309025612888746,8.435793201486396
2025,43.089381842071745,49.04370210968767,7.866916048240586
