,overall,violent,property,other
2006-01-31 00:00:00+00:00,18180,1747,6729,9704
2006-02-28 00:00:00+00:00,15204,1402,5551,8251
2006-03-31 00:00:00+00:00,17845,1756,6843,9246
2006-04-30 00:00:00+00:00,18154,1823,6593,9738
2006-05-31 00:00:00+00:00,19073,2022,7638,9413
2006-06-30 00:00:00+00:00,19434,1965,7262,10207
2006-07-31 00:00:00+00:00,20056,2039,7726,10291
2006-08-31 00:00:00+00:00,20805,2039,7745,11021
2006-09-30 00:00:00+00:00,18654,1870,7676,9108
2006-10-31 00:00:00+00:00,19659,2093,7900,9666
2006-11-30 00:00:00+00:00,18263,1951,7222,9090
2006-12-31 00:00:00+00:00,17939,1862,7186,8891
2007-01-31 00:00:00+00:00,17182,1765,7015,8402
2007-02-28 00:00:00+00:00,13630,1327,5423,6880
2007-03-31 00:00:00+00:00,17842,1677,6889,9276
2007-04-30 00:00:00+00:00,18129,1636,7019,9474
2007-05-31 00:00:00+00:00,19292,1932,7722,9638
2007-06-30 00:00:00+00:00,18169,1852,7195,9122
2007-07-31 00:00:00+00:00,18941,1988,7216,9737
2007-08-31 00:00:00+00:00,19049,1772,7033,10244
2007-09-30 00:00:00+00:00,17915,1848,6841,9226
2007-10-31 00:00:00+00:00,18188,1844,7519,8825
2007-11-30 00:00:00+00:00,16347,1614,6714,8019
2007-12-31 00:00:00+00:00,16698,1558,6763,8377
2008-01-31 00:00:00+00:00,16888,1542,6716,8630
2008-02-29 00:00:00+00:00,15541,1399,5887,8255
2008-03-31 00:00:00+00:00,18316,1580,6670,10066
2008-04-30 00:00:00+00:00,18620,1667,7153,9800
2008-05-31 00:00:00+00:00,17922,1677,6928,9317
2008-06-30 00:00:00+00:00,19066,1865,7216,9985
2008-07-31 00:00:00+00:00,19706,1884,7420,10402
2008-08-31 00:00:00+00:00,20016,1860,7369,10787
2008-09-30 00:00:00+00:00,17083,1819,7216,8048
2008-10-31 00:00:00+00:00,17354,1937,7115,8302
2008-11-30 00:00:00+00:00,15562,1675,6449,7438
2008-12-31 00:00:00+00:00,15826,1767,6313,7746
2009-01-31 00:00:00+00:00,14789,1583,5604,7602
2009-02-28 00:00:00+00:00,13670,1283,5007,7380
2009-03-31 00:00:00+00:00,16614,1502,6015,9097
2009-04-30 00:00:00+00:00,17058,1549,6057,9452
2009-05-31 00:00:00+00:00,17679,1708,6730,9241
2009-06-30 00:00:00+00:00,17526,1607,6604,9315
2009-07-31 00:00:00+00:00,17912,1705,6644,9563
2009-08-31 00:00:00+00:00,18154,1803,6964,9387
2009-09-30 00:00:00+00:00,16203,1692,6796,7715
2009-10-31 00:00:00+00:00,16250,1596,6894,7760
2009-11-30 00:00:00+00:00,15271,1506,6344,7421
2009-12-31 00:00:00+00:00,14145,1491,5904,6750
2010-01-31 00:00:00+00:00,14966,1435,6184,7347
2010-02-28 00:00:00+00:00,11804,1026,4611,6167
2010-03-31 00:00:00+00:00,15989,1412,6548,8029
2010-04-30 00:00:00+00:00,16702,1605,6749,8348
