year,Violent,Property,Other,Total,Violent_Ratio,Property_Ratio,Other_Ratio
2015,16138,46103,114527,176768,9.129480448950037,26.081078023171617,64.78944152787834
2016,15414,45439,100435,161288,9.556817618173701,28.17258568523387,62.27059669659243
2017,15088,44290,99604,158982,9.49038255903184,27.85849970436905,62.65111773659912
2018,14413,45224,94952,154589,9.323431809507792,29.254345393268604,61.422222797223604
2019,15298,46220,99930,161448,9.475496754372925,28.62841286358456,61.896090382042516
2020,15367,43189,75855,134411,11.43284403806236,32.13204276435708,56.435113197580556
2021,15071,49802,69510,134383,11.214960225623777,37.059747140635345,51.72529263374087
2022,15228,66392,69588,151208,10.070895719803186,43.90772974974869,46.02137453044812
2023,14673,78202,76148,169023,8.681067073711862,46.26707607840353,45.05185684788461
2024,13528,70979,75882,160389,8.434493637344206,44.25428177742863,47.311224585227166
