cluster,point_x,point_y,incident_count
0,-75.15488532042215,39.98779350294175,33045
1,-75.00696542965768,40.06714543691914,3710
2,-74.9656901715032,40.08264461035052,5934
3,-75.2192318574932,40.02999701834208,10284
4,-75.1934166473814,40.01085792059169,5797
5,-75.07218066985487,39.99937658068286,6546
6,-75.00793362794447,40.100984696403486,3673
7,-75.21126161912674,40.00396587524452,8016
8,-75.26657143978495,39.97578405750436,8603
9,-74.97937030126539,40.096823388266365,6172
10,-75.26380023861844,40.05509592533333,3525
11,-75.02537381791853,40.1119073875315,4444
12,-75.03218933062864,40.07629318058978,7206
13,-75.02947840539474,40.10139452257344,3268
14,-75.2313976978226,39.883697405596955,6843
15,-75.08351947273971,40.07479301675119,5048
16,-75.16691969308492,39.90542322012928,3945
17,-75.1741625970212,39.905279636362955,2689
18,-75.04116634715602,40.08426188595004,4884
19,-75.01604595672684,40.06787646239069,2493
20,-75.17828113872132,40.06914969630361,5013
21,-74.96524873114592,40.09149616894449,4756
22,-75.23842908801664,40.06314206257571,3005
23,-74.98544358518899,40.077339535994696,3016
24,-75.02206470088447,40.0623552296953,2363
25,-74.97689145986949,40.08828304149362,3448
26,-75.22154930302959,40.00178207253409,3007
27,-74.98809347146455,40.06979314503265,2144
28,-74.9803430678032,40.07355516560641,1311
29,-74.99405634802966,40.079753946469914,3507
30,-75.0228761850353,40.104496745370696,2266
31,-74.98479101444444,40.06414438517771,3123
32,-74.99161411348722,40.07520166747159,1408
