GEOID,total_pop,total_crimes,crime_rate,violent_crimes,violent_rate,property_crimes,property_rate,other_crimes,other_rate,low_population,rate_reliable
42101000101,1879,9694,515912.7195316658,652,34699.30814262906,4045,215274.08195848853,4997,265939.3294305481,False,True
42101000102,2988,6004,200937.08165997325,172,5756.358768406962,2990,100066.9344042838,2842,95113.78848728247,False,True
42101000200,3175,12555,395433.0708661417,869,27370.07874015748,4464,140598.4251968504,7222,227464.56692913384,False,True
42101000300,3586,13880,387060.7919687674,738,20580.033463469048,5736,159955.38204127163,7406,206525.37646402678,False,True
42101000401,2577,6527,253279.006596818,377,14629.41404734187,3187,123670.93519596431,2963,114978.65735351182,False,True
42101000403,775,18014,2324387.0967741935,1371,176903.2258064516,4183,539741.935483871,12460,1607741.935483871,False,True
42101000404,3383,11311,334348.2116464676,540,15962.163759976353,5697,168400.8276677505,5074,149985.22021874075,False,True
42101000500,2826,41583,1471443.736730361,2350,83156.40481245576,21615,764861.9957537155,17618,623425.3361641896,False,True
42101000600,1312,13130,1000762.1951219513,881,67149.39024390244,6157,469283.53658536583,6092,464329.26829268294,False,True
42101000701,1665,17589,1056396.3963963964,888,53333.333333333336,11354,681921.9219219219,5347,321141.1411411412,False,True
42101000702,2114,3396,160643.33017975403,200,9460.73793755913,1866,88268.68495742668,1330,62913.90728476821,False,True
42101000801,1631,1309,80257.51072961373,73,4475.781729000613,710,43531.57572041692,526,32250.1532801962,False,True
42101000803,2921,3919,134166.381376241,191,6538.856555973982,2061,70558.02807257789,1667,57069.496747689154,False,True
42101000805,2642,3460,130961.39288417865,191,7229.371688115065,2144,81150.64345193036,1125,42581.37774413323,False,True
42101000806,2149,4875,226849.69753373662,312,14518.380642159143,2718,126477.43136342484,1845,85853.88552815263,False,True
42101000901,1976,12120,613360.3238866397,894,45242.914979757086,4093,207135.62753036438,7133,360981.78137651825,False,True
42101000902,2764,3430,124095.51374819104,203,7344.428364688857,1845,66751.08538350217,1382,50000.0,False,True
42101001001,2816,4459,158345.17045454547,182,6463.068181818182,2014,71519.88636363637,2263,80362.21590909091,False,True
42101001002,3158,12224,387080.4306523116,576,18239.39202026599,4106,130018.99936668777,7542,238822.0392653578,False,True
42101001101,4072,6415,157539.29273084478,443,10879.17485265226,2517,61812.37721021611,3455,84847.74066797642,False,True
42101001102,2532,4550,179699.8420221169,298,11769.352290679306,1903,75157.97788309638,2349,92772.51184834124,False,True
42101001201,4085,4483,109742.96205630354,246,6022.03182374541,2686,65752.75397796818,1551,37968.17625458996,False,True
42101001203,1827,1505,82375.47892720306,104,5692.391899288451,800,43787.62999452654,601,32895.45703338807,False,True
42101001204,3156,4582,145183.77693282635,322,10202.788339670467,2421,76711.02661596957,1839,58269.961977186314,False,True
42101001301,1672,2909,173983.25358851673,151,9031.1004784689,1412,84449.76076555024,1346,80502.39234449761,False,True
42101001302,5213,4951,94974.10320352964,329,6311.145213888356,2453,47055.43832725877,2169,41607.5196623825,False,True
42101001400,4100,5486,133804.8780487805,449,10951.219512195123,2637,64317.07317073171,2400,58536.58536585366,False,True
42101001500,3260,4608,141349.69325153375,362,11104.294478527607,1978,60674.84662576688,2268,69570.55214723926,False,True
42101001600,2481,4030,162434.50221684805,246,9915.356711003627,1938,78113.6638452237,1846,74405.48166062072,False,True
42101001700,3039,3410,112207.96314577163,275,9049.029285949326,1341,44126.357354392894,1794,59032.57650542941,False,True
42101001800,3081,4195,136157.09185329438,300,9737.098344693282,1898,61603.375527426164,1997,64816.61798117494,False,True
42101001900,3995,8576,214668.33541927408,499,12490.61326658323,4133,103454.31789737171,3944,98723.40425531915,False,True
42101002000,1882,5586,296811.9022316684,522,27736.45058448459,1626,86397.44952178533,3438,182678.00212539852,False,True
42101002100,2321,7323,315510.555794916,523,22533.390779836278,1591,68548.03963808704,5209,224429.12537699268,False,True
42101002200,2669,7908,296290.7455976021,628,23529.41176470588,2014,75458.9733982765,5266,197302.3604346197,False,True
42101002300,2977,4139,139032.58313738662,324,10883.439704400404,1560,52401.74672489083,2255,75747.39670809539,False,True
42101002400,4892,9070,185404.74243663123,843,17232.215862632867,3689,75408.83074407195,4538,92763.69582992641,False,True
42101002500,4199,5257,125196.47535127412,396,9430.816861157418,1798,42819.718980709695,3063,72945.93950940699,False,True
42101002701,4098,5120,124938.99463152757,505,12323.084431429967,1494,36456.80819912152,3121,76159.10200097608,False,True
42101002702,4300,5204,121023.25581395348,345,8023.255813953488,2152,50046.51162790698,2707,62953.48837209302,False,True
42101002801,4452,5846,131311.7699910153,669,15026.954177897574,1892,42497.753818508536,3285,73787.06199460916,False,True
42101002802,5772,7010,121448.37144837144,707,12248.787248787248,2632,45599.4455994456,3671,63600.1386001386,False,True
42101002900,3762,6563,174455.07708665603,503,13370.547581073897,2991,79505.58213716108,3069,81578.94736842105,False,True
42101003001,3722,5259,141295.00268672756,716,19236.96937130575,1691,45432.5631380978,2852,76625.47017732402,False,True
42101003002,2961,5913,199696.04863221882,591,19959.473150962513,1632,55116.514690982774,3690,124620.06079027355,False,True
42101003100,4575,13082,285945.35519125685,1185,25901.639344262294,3082,67366.12021857924,8815,192677.59562841532,False,True
42101003200,4100,15064,367414.6341463415,1505,36707.31707317073,2882,70292.68292682926,10677,260414.63414634144,False,True
42101003300,6417,20348,317095.21583294374,2090,32569.736637057817,4575,71294.99766245909,13683,213230.48153342685,False,True
42101003600,7109,14704,206836.40455760303,1779,25024.616683077787,3410,47967.365311576876,9515,133844.42256294837,False,True
42101003701,5617,13239,235695.21096670823,1505,26793.662097204913,2580,45931.99216663699,9154,162969.5567028663,False,True
42101003702,3922,5429,138424.2733299337,519,13233.044365119837,1535,39138.194798572156,3375,86053.03416624172,False,True
42101003800,3912,13646,348824.1308793456,707,18072.597137014316,7698,196779.14110429448,5241,133972.3926380368,False,True
42101003901,6429,10343,160880.38575206097,872,13563.54020843055,3399,52869.808679421374,6072,94447.03686420906,False,True
42101003902,5682,5728,100809.57409362901,323,5684.618092221049,1965,34582.893347412886,3440,60542.062653995075,False,True
42101004001,4037,8716,215902.89819172653,869,21525.885558583104,3102,76839.23705722071,4745,117537.77557592271,False,True
42101004002,5247,6938,132227.93977510958,659,12559.55784257671,2070,39451.11492281304,4209,80217.26700971984,False,True
42101004101,4952,13413,270860.2584814217,1459,29462.843295638126,2711,54745.55735056543,9243,186651.8578352181,False,True
